So tin chi,Ty le thuc hanh,Ky thuat,Phan tich,Thiet ke,Ky nang nhom,Diem chuyen can,Diem tong ket,Chuyen nganh
1,cao,B,D,D,C,TB,TB,CNPM
2,thap,B,A,C,B,cao,thap,HTTT
3,TB,B,C,C,D,thap,thap,CNPM
2,thap,A,C,B,B,TB,thap,HTTT
2,cao,A,A,D,B,cao,TB,CNPM
2,TB,C,C,C,C,cao,cao,CNPM
3,TB,A,C,A,A,thap,thap,CNPM
3,cao,B,B,C,D,cao,thap,CNPM
3,TB,B,D,B,C,thap,cao,HTTT
4,TB,A,A,B,C,thap,TB,HTTT
1,TB,B,C,C,A,cao,cao,CNPM
3,cao,A,A,D,C,TB,thap,CNPM
3,TB,A,C,D,C,cao,cao,CNPM
3,TB,B,B,D,B,TB,cao,CNPM
3,TB,A,A,B,D,thap,TB,HTTT
3,TB,A,A,C,D,thap,cao,HTTT
3,TB,B,C,C,B,cao,TB,CNPM
2,TB,C,D,C,A,TB,thap,CNPM
2,TB,B,B,D,B,thap,cao,HTTT
4,TB,A,D,D,D,cao,cao,CNPM
2,TB,A,B,B,B,thap,thap,CNPM
3,TB,D,B,D,A,cao,thap,CNPM
4,TB,B,A,C,D,thap,TB,HTTT
1,TB,B,C,B,A,cao,TB,CNPM
2,cao,A,B,C,B,cao,TB,CNPM
1,TB,C,D,D,B,thap,TB,HTTT
2,thap,B,C,C,B,thap,TB,HTTT
2,TB,A,B,C,D,cao,TB,CNPM
3,TB,D,C,C,C,thap,TB,HTTT
2,thap,B,A,D,A,TB,TB,HTTT
4,TB,C,C,D,A,thap,TB,HTTT
4,TB,B,C,C,A,thap,TB,HTTT
3,cao,B,C,D,D,thap,thap,CNPM
2,TB,D,A,B,B,cao,TB,CNPM
3,cao,A,B,D,A,cao,cao,CNPM
2,cao,B,C,C,B,cao,cao,CNPM
3,thap,B,A,B,B,cao,TB,HTTT
2,TB,B,D,C,D,TB,TB,CNPM
2,thap,B,B,D,C,TB,thap,HTTT
2,TB,A,C,D,B,TB,cao,CNPM
3,TB,C,D,D,C,thap,thap,CNPM
3,cao,B,A,D,C,TB,thap,CNPM
2,TB,B,C,C,C,cao,TB,CNPM
3,thap,B,B,C,A,thap,thap,CNPM
4,TB,A,D,C,A,TB,TB,CNPM
3,cao,D,A,C,B,cao,TB,CNPM
2,TB,A,B,C,C,thap,cao,HTTT
4,TB,B,D,D,C,cao,thap,CNPM
3,thap,B,D,C,A,TB,TB,HTTT
3,thap,A,C,D,C,thap,cao,HTTT
3,thap,B,D,C,B,thap,TB,HTTT
4,TB,A,B,D,B,TB,thap,CNPM
4,TB,C,A,C,D,TB,cao,CNPM
2,TB,B,B,D,A,TB,thap,CNPM
4,TB,C,B,C,C,TB,cao,CNPM
4,TB,B,D,C,A,cao,cao,CNPM
2,TB,A,B,C,A,cao,cao,CNPM
4,cao,A,A,D,A,cao,thap,CNPM
3,TB,A,B,C,D,cao,cao,CNPM
3,TB,B,D,C,D,thap,TB,HTTT
4,thap,B,B,B,C,thap,cao,HTTT
1,TB,C,D,C,A,thap,cao,HTTT
3,TB,B,D,C,D,cao,thap,CNPM
2,TB,A,C,D,B,cao,thap,CNPM
1,TB,B,C,C,D,TB,thap,CNPM
2,TB,A,D,D,D,TB,cao,CNPM
2,cao,A,A,C,A,TB,TB,CNPM
2,TB,B,B,B,B,cao,TB,CNPM
3,TB,B,C,B,A,thap,cao,HTTT
4,TB,B,B,C,C,TB,thap,CNPM
1,cao,B,A,C,B,TB,TB,CNPM
2,TB,B,B,C,B,thap,TB,HTTT
3,thap,C,A,C,B,TB,cao,HTTT
2,TB,C,B,C,C,TB,thap,CNPM
1,TB,B,B,D,A,TB,TB,CNPM
4,thap,A,B,A,A,cao,TB,HTTT
4,TB,C,A,D,C,cao,cao,CNPM
3,TB,A,B,B,C,TB,TB,CNPM
3,cao,C,D,D,A,cao,TB,CNPM
4,TB,B,B,A,B,cao,thap,CNPM
2,TB,B,A,D,B,cao,thap,CNPM
2,TB,D,C,D,C,thap,cao,HTTT
4,TB,D,C,B,A,thap,TB,HTTT
2,TB,C,C,D,A,TB,TB,CNPM
2,TB,B,B,C,D,cao,TB,CNPM
3,TB,B,D,B,C,cao,cao,CNPM
3,thap,B,D,D,C,thap,cao,HTTT
3,cao,B,C,B,C,TB,TB,CNPM
3,TB,A,A,D,A,thap,thap,CNPM
3,thap,A,A,C,C,cao,TB,HTTT
2,thap,B,B,C,D,thap,thap,CNPM
2,TB,A,B,C,B,TB,cao,CNPM
2,cao,A,D,D,C,thap,TB,CNPM
3,thap,C,A,D,C,cao,thap,HTTT
4,cao,B,B,C,D,cao,thap,CNPM
2,TB,B,D,C,D,thap,TB,HTTT
4,thap,D,B,C,A,TB,thap,HTTT
2,TB,D,A,D,C,thap,cao,HTTT
2,TB,A,C,C,D,TB,cao,CNPM
2,TB,A,A,D,A,thap,TB,HTTT
4,TB,A,B,B,D,thap,TB,HTTT
2,TB,D,C,D,D,cao,thap,CNPM
2,TB,A,C,D,A,TB,thap,CNPM
4,cao,B,A,C,B,thap,TB,CNPM
2,thap,A,D,D,C,cao,TB,HTTT
3,TB,B,B,B,C,cao,TB,CNPM
4,TB,A,C,D,C,cao,TB,CNPM
2,TB,B,C,C,D,cao,cao,CNPM
2,thap,B,B,C,B,thap,cao,HTTT
2,cao,A,D,D,C,thap,cao,CNPM
4,TB,B,B,C,C,TB,thap,CNPM
3,TB,D,A,C,B,TB,cao,CNPM
4,TB,B,D,B,B,cao,TB,CNPM
3,cao,B,B,D,A,thap,TB,CNPM
2,TB,B,B,D,A,TB,cao,CNPM
2,TB,B,A,C,A,thap,TB,HTTT
4,thap,C,C,A,A,TB,thap,HTTT
3,thap,A,A,C,A,thap,TB,HTTT
3,TB,A,D,C,C,thap,TB,HTTT
3,cao,A,A,C,C,cao,cao,CNPM
4,TB,A,B,C,A,thap,cao,HTTT
3,TB,A,C,C,B,TB,TB,CNPM
1,TB,B,B,D,B,cao,cao,CNPM
3,TB,C,B,C,D,cao,TB,CNPM
4,TB,A,D,D,B,cao,TB,CNPM
2,TB,C,B,D,C,cao,TB,CNPM
3,cao,B,A,C,B,thap,thap,CNPM
1,TB,A,B,D,A,cao,cao,CNPM
2,thap,A,B,B,B,cao,cao,HTTT
2,thap,A,D,D,D,cao,TB,HTTT
2,thap,B,C,C,B,thap,thap,CNPM
4,TB,B,D,A,C,cao,thap,CNPM
2,cao,A,A,D,A,cao,TB,CNPM
4,thap,C,D,C,A,TB,cao,HTTT
3,TB,C,C,B,D,cao,thap,CNPM
4,TB,B,D,B,D,thap,cao,HTTT
2,TB,D,C,C,C,cao,TB,CNPM
4,TB,B,A,A,A,TB,TB,CNPM
2,TB,A,B,D,D,TB,thap,CNPM
3,TB,B,D,C,A,TB,cao,CNPM
2,thap,A,C,C,D,TB,TB,HTTT
3,thap,C,A,C,C,cao,cao,HTTT
3,TB,B,C,D,A,TB,cao,CNPM
4,TB,A,B,C,A,TB,TB,CNPM
2,cao,A,C,B,D,thap,TB,CNPM
4,TB,B,D,C,C,cao,thap,CNPM
3,TB,B,D,D,A,TB,thap,CNPM
2,TB,C,D,D,C,cao,thap,CNPM
4,cao,C,A,C,C,thap,cao,CNPM
4,cao,B,C,D,A,thap,cao,CNPM
4,cao,B,D,C,C,TB,TB,CNPM
2,cao,D,C,B,C,TB,TB,CNPM
4,TB,B,B,D,D,TB,TB,CNPM
4,TB,A,C,D,C,TB,thap,CNPM
2,TB,D,B,C,D,thap,TB,HTTT
3,cao,B,A,C,C,thap,thap,CNPM
4,TB,D,C,B,D,cao,TB,CNPM
4,TB,A,B,D,D,TB,TB,CNPM
3,TB,A,C,D,C,TB,TB,CNPM
1,cao,A,D,C,D,cao,thap,CNPM
3,cao,A,D,C,A,cao,cao,CNPM
4,TB,C,D,D,A,TB,TB,CNPM
2,TB,A,A,D,B,TB,thap,CNPM
2,cao,B,C,C,D,thap,cao,CNPM
2,TB,B,B,C,C,thap,TB,HTTT
4,TB,B,D,C,B,thap,cao,HTTT
4,cao,B,A,D,D,TB,cao,CNPM
2,cao,A,C,C,C,thap,cao,CNPM
2,TB,B,C,C,B,TB,TB,CNPM
3,TB,B,A,C,D,TB,thap,CNPM
3,TB,B,A,C,A,TB,TB,CNPM
4,thap,A,D,B,C,TB,thap,HTTT
2,TB,A,B,D,D,cao,thap,CNPM
3,cao,B,C,D,D,thap,cao,CNPM
3,TB,A,B,C,C,thap,thap,CNPM
4,thap,A,B,D,D,TB,cao,HTTT
2,cao,A,C,C,B,TB,TB,CNPM
2,cao,B,B,D,B,cao,TB,CNPM
3,cao,C,C,C,B,cao,thap,CNPM
3,thap,A,C,D,B,thap,TB,HTTT
4,TB,B,A,C,B,thap,thap,CNPM
1,TB,A,B,C,C,TB,cao,CNPM
3,TB,A,D,B,A,TB,cao,CNPM
3,TB,A,C,C,A,thap,TB,HTTT
3,TB,B,B,C,B,TB,TB,CNPM
4,TB,B,C,A,D,cao,thap,CNPM
4,cao,B,C,C,C,cao,thap,CNPM
4,TB,B,C,C,A,TB,cao,CNPM
4,TB,A,A,B,C,TB,TB,CNPM
2,TB,A,A,C,B,cao,TB,CNPM
2,thap,B,B,C,A,thap,cao,HTTT
3,thap,D,C,D,A,cao,cao,HTTT
4,cao,A,B,C,B,cao,TB,CNPM
2,thap,D,C,C,A,cao,thap,HTTT
3,TB,B,B,C,B,cao,TB,CNPM
3,TB,B,B,C,C,TB,thap,CNPM
2,TB,A,D,C,A,cao,TB,CNPM
4,thap,B,A,C,A,thap,thap,CNPM
3,TB,A,C,C,B,cao,TB,CNPM
4,TB,A,B,C,D,thap,thap,CNPM
3,TB,A,D,C,A,cao,TB,CNPM
3,TB,B,D,D,C,cao,TB,CNPM
3,cao,A,A,C,A,cao,TB,CNPM
2,TB,D,A,C,D,cao,cao,CNPM
3,TB,A,A,C,A,cao,TB,CNPM
3,TB,A,D,D,D,thap,cao,HTTT
3,TB,A,D,B,D,thap,cao,HTTT
2,TB,D,B,C,A,TB,cao,CNPM
2,TB,A,B,D,C,TB,cao,CNPM
4,TB,A,C,D,C,cao,thap,CNPM
1,TB,C,C,D,B,TB,TB,CNPM
4,cao,B,A,C,C,cao,TB,CNPM
2,thap,B,D,D,C,thap,TB,HTTT
3,TB,A,A,B,D,TB,thap,CNPM
2,TB,B,C,C,D,cao,thap,CNPM
3,TB,B,D,D,A,TB,thap,CNPM
3,thap,A,D,C,D,cao,thap,HTTT
4,TB,A,C,D,A,thap,TB,HTTT
1,thap,D,A,D,D,cao,thap,HTTT
2,TB,B,C,D,A,TB,cao,CNPM
4,TB,A,C,C,B,TB,cao,CNPM
3,cao,B,A,D,D,thap,thap,CNPM
4,TB,B,C,C,A,cao,cao,CNPM
2,TB,A,A,C,B,TB,cao,CNPM
3,TB,A,A,C,D,TB,thap,CNPM
4,TB,A,D,D,C,cao,thap,CNPM
2,TB,A,D,C,D,thap,cao,HTTT
3,TB,A,A,C,B,cao,thap,CNPM
3,TB,A,A,C,C,thap,cao,HTTT
3,cao,A,B,C,D,thap,TB,CNPM
1,TB,A,B,C,C,thap,TB,HTTT
2,TB,A,D,C,C,TB,cao,CNPM
2,thap,C,D,D,B,thap,cao,HTTT
2,TB,B,D,C,D,cao,TB,CNPM
3,TB,A,A,C,A,cao,TB,CNPM
3,cao,A,A,C,C,cao,thap,CNPM
3,TB,B,C,C,A,cao,TB,CNPM
2,TB,D,C,C,B,TB,thap,CNPM
3,cao,A,D,D,D,thap,thap,CNPM
4,TB,C,D,B,D,cao,cao,CNPM
3,TB,D,A,C,C,cao,TB,CNPM
3,TB,A,A,C,D,cao,cao,CNPM
2,TB,A,D,C,C,thap,TB,HTTT
2,TB,B,C,C,D,thap,thap,CNPM
3,TB,A,B,D,D,TB,thap,CNPM
4,TB,A,B,D,C,TB,TB,CNPM
4,TB,A,D,C,C,cao,TB,CNPM
2,TB,B,A,A,B,thap,TB,HTTT
2,TB,A,C,C,B,cao,thap,CNPM
3,TB,B,B,C,D,TB,thap,CNPM
2,TB,A,B,D,A,TB,thap,CNPM
3,TB,A,C,C,A,cao,thap,CNPM
4,TB,A,B,C,C,TB,thap,CNPM
4,TB,A,B,D,C,cao,thap,CNPM
3,TB,C,B,A,C,thap,cao,HTTT
4,TB,B,C,C,D,TB,thap,CNPM
3,TB,C,C,D,D,TB,TB,CNPM
4,TB,A,A,A,C,cao,thap,CNPM
2,TB,B,C,B,A,thap,cao,HTTT
2,cao,A,A,D,A,thap,TB,CNPM
4,cao,A,B,B,B,cao,thap,CNPM
3,thap,B,C,C,B,thap,TB,HTTT
3,TB,A,D,C,C,cao,TB,CNPM
4,TB,C,C,C,B,cao,TB,CNPM
4,TB,A,C,C,B,thap,TB,HTTT
2,TB,B,B,A,B,thap,TB,HTTT
3,TB,A,C,D,D,cao,TB,CNPM
4,TB,A,C,D,C,cao,thap,CNPM
2,thap,B,B,C,D,TB,cao,HTTT
4,cao,D,C,D,D,cao,cao,CNPM
2,TB,A,A,D,C,cao,TB,CNPM
2,cao,A,A,C,D,thap,thap,CNPM
2,TB,B,A,D,D,cao,thap,CNPM
4,TB,B,A,C,B,TB,TB,CNPM
3,TB,A,B,B,B,thap,thap,CNPM
4,TB,B,D,D,C,cao,cao,CNPM
4,TB,C,C,C,C,TB,cao,CNPM
3,thap,B,C,C,D,thap,TB,HTTT
2,TB,B,D,C,B,cao,thap,CNPM
4,thap,A,B,C,A,cao,cao,HTTT
2,TB,A,D,C,C,cao,cao,CNPM
3,TB,A,D,A,A,cao,thap,CNPM
2,TB,A,A,A,D,cao,thap,CNPM
2,TB,A,A,C,B,cao,thap,CNPM
3,thap,B,D,C,D,cao,cao,HTTT
2,thap,B,D,C,B,cao,cao,HTTT
2,thap,D,A,B,A,cao,TB,HTTT
4,thap,B,C,C,D,thap,cao,HTTT
3,TB,B,D,B,A,cao,thap,CNPM
2,cao,B,B,D,B,cao,TB,CNPM
3,thap,D,C,D,A,thap,cao,HTTT
3,TB,B,C,D,C,TB,TB,CNPM
2,TB,B,D,C,D,thap,cao,HTTT
2,thap,B,B,C,A,cao,thap,HTTT
3,thap,A,C,D,B,TB,cao,HTTT
3,TB,C,B,C,D,TB,cao,CNPM
3,thap,B,D,C,A,cao,cao,HTTT
4,TB,A,C,B,A,cao,thap,CNPM
3,cao,B,A,D,C,thap,thap,CNPM
2,cao,A,B,B,D,cao,TB,CNPM
4,TB,D,D,A,A,thap,thap,HTTT
4,cao,B,A,D,B,thap,thap,CNPM
4,TB,A,C,C,A,thap,cao,HTTT
4,TB,A,B,D,C,cao,TB,CNPM
2,TB,B,A,C,C,cao,cao,CNPM
2,cao,A,B,D,B,cao,TB,CNPM
3,TB,B,D,C,C,cao,TB,CNPM
2,thap,B,C,D,C,TB,thap,HTTT
1,cao,A,A,C,C,TB,TB,CNPM
2,thap,B,B,D,A,cao,thap,HTTT
2,cao,C,A,C,C,cao,TB,CNPM
1,thap,B,A,D,C,TB,TB,HTTT
1,TB,B,A,D,A,thap,TB,HTTT
3,thap,A,D,C,A,thap,thap,CNPM
3,TB,D,A,C,D,thap,thap,HTTT
3,TB,A,D,B,C,cao,cao,CNPM
4,cao,B,C,B,C,cao,TB,CNPM
4,cao,B,C,C,A,TB,thap,CNPM
2,cao,A,B,C,A,cao,TB,CNPM
4,TB,B,D,B,B,thap,cao,HTTT
2,TB,B,B,C,C,cao,TB,CNPM
3,TB,D,C,B,D,thap,cao,HTTT
2,thap,B,C,B,D,thap,thap,CNPM
4,TB,C,C,B,D,TB,TB,CNPM
2,TB,C,A,C,A,TB,cao,CNPM
4,thap,B,C,C,B,TB,cao,HTTT
2,TB,D,B,C,D,cao,cao,CNPM
4,cao,A,D,D,A,TB,cao,CNPM
3,TB,A,C,C,C,thap,TB,HTTT
3,TB,A,C,D,B,cao,TB,CNPM
2,thap,A,B,B,B,TB,thap,HTTT
4,TB,B,A,C,A,TB,cao,CNPM
2,TB,B,B,D,A,TB,thap,CNPM
2,thap,A,C,C,C,TB,thap,HTTT
2,TB,C,C,D,A,TB,cao,CNPM
4,thap,A,D,A,D,cao,cao,HTTT
2,TB,D,A,D,B,cao,thap,CNPM
3,TB,C,C,B,D,cao,thap,CNPM
4,cao,A,A,C,A,cao,TB,CNPM
4,TB,A,C,D,B,thap,thap,CNPM
2,TB,B,D,C,C,cao,TB,CNPM
3,TB,B,A,C,C,cao,TB,CNPM
1,thap,A,D,C,C,thap,thap,CNPM
4,TB,D,A,C,D,thap,thap,HTTT
4,cao,B,A,B,A,TB,thap,CNPM
4,TB,A,C,D,B,TB,TB,CNPM
1,cao,A,D,C,D,TB,TB,CNPM
2,TB,A,A,C,B,TB,TB,CNPM
2,thap,A,A,C,A,thap,cao,HTTT
2,cao,A,D,D,D,thap,TB,CNPM
3,TB,A,C,C,A,cao,cao,CNPM
2,thap,A,C,C,A,thap,TB,HTTT
3,TB,B,A,C,D,TB,thap,CNPM
1,cao,B,D,D,A,thap,TB,CNPM
4,TB,B,D,C,C,TB,TB,CNPM
2,thap,B,B,D,B,thap,thap,CNPM
3,TB,B,D,B,C,cao,thap,CNPM
2,TB,B,A,C,B,TB,cao,CNPM
2,cao,D,B,D,C,thap,thap,HTTT
2,TB,B,A,C,C,cao,cao,CNPM
2,TB,B,D,D,B,cao,TB,CNPM
4,TB,B,C,C,A,thap,thap,CNPM
3,thap,A,C,D,B,TB,cao,HTTT
4,TB,B,D,D,D,TB,thap,CNPM
2,thap,A,D,C,B,TB,thap,HTTT
2,thap,B,A,A,B,cao,cao,HTTT
1,cao,D,B,D,C,cao,cao,CNPM
3,thap,A,C,B,C,thap,cao,HTTT
3,TB,D,C,D,B,cao,cao,CNPM
4,TB,C,C,C,C,thap,thap,HTTT
4,TB,B,B,B,C,thap,thap,CNPM
3,thap,A,C,C,C,thap,TB,HTTT
3,TB,B,D,C,D,TB,thap,CNPM
2,TB,B,C,C,D,cao,TB,CNPM
2,TB,D,B,C,D,cao,TB,CNPM
4,TB,C,B,D,D,thap,TB,HTTT
2,TB,B,D,D,B,TB,TB,CNPM
4,cao,A,A,B,C,TB,cao,CNPM
4,cao,B,C,C,A,TB,TB,CNPM
4,TB,A,D,D,A,TB,TB,CNPM
4,cao,A,C,B,C,thap,TB,CNPM
4,cao,D,D,D,D,thap,TB,CNPM
4,cao,B,C,C,C,cao,cao,CNPM
1,cao,B,A,A,B,thap,cao,CNPM
4,TB,A,A,C,C,TB,thap,CNPM
3,TB,B,C,B,B,TB,cao,CNPM
3,TB,A,A,D,A,cao,cao,CNPM
4,TB,A,D,C,D,cao,cao,CNPM
4,thap,B,C,C,A,TB,TB,HTTT
2,TB,A,C,C,C,cao,TB,CNPM
3,cao,A,D,D,D,TB,TB,CNPM
1,TB,B,A,C,A,TB,thap,CNPM
3,TB,B,C,B,C,cao,TB,CNPM
2,TB,B,B,C,D,TB,TB,CNPM
2,TB,C,A,B,C,cao,TB,CNPM
4,TB,B,C,D,B,cao,TB,CNPM
2,TB,B,D,C,C,TB,TB,CNPM
4,TB,A,B,C,D,cao,cao,CNPM
2,TB,B,A,C,D,cao,TB,CNPM
2,thap,A,A,D,A,TB,thap,HTTT
3,TB,A,B,D,B,thap,cao,HTTT
3,thap,B,D,C,A,TB,TB,HTTT
1,thap,C,C,D,A,cao,thap,HTTT
4,cao,D,D,C,A,thap,cao,CNPM
3,TB,B,D,C,C,TB,thap,CNPM
4,TB,A,A,D,B,TB,cao,CNPM
2,TB,A,B,D,B,thap,TB,HTTT
4,TB,A,A,D,C,thap,thap,CNPM
4,TB,C,A,B,D,thap,cao,HTTT
2,TB,B,A,C,D,TB,cao,CNPM
2,TB,B,B,B,C,cao,TB,CNPM
3,TB,B,D,C,A,cao,TB,CNPM
1,cao,C,C,D,B,TB,cao,CNPM
3,TB,D,D,B,C,cao,cao,CNPM
4,TB,B,B,C,A,thap,cao,HTTT
4,cao,A,B,D,C,thap,thap,CNPM
3,TB,B,A,B,B,TB,cao,CNPM
2,cao,D,C,B,C,cao,TB,CNPM
3,TB,A,C,C,A,cao,TB,CNPM
2,thap,A,B,C,D,cao,TB,HTTT
2,TB,A,B,C,D,thap,TB,HTTT
3,cao,D,B,C,C,cao,thap,CNPM
3,TB,D,C,D,A,TB,cao,CNPM
2,TB,A,B,C,B,thap,cao,HTTT
4,TB,A,D,B,C,cao,TB,CNPM
4,cao,B,B,A,A,cao,cao,CNPM
4,TB,A,C,C,B,thap,thap,CNPM
3,cao,A,A,B,D,TB,cao,CNPM
4,TB,C,A,D,D,cao,cao,CNPM
4,TB,B,C,D,C,cao,cao,CNPM
3,cao,A,C,D,B,TB,cao,CNPM
1,TB,B,A,D,B,TB,TB,CNPM
4,thap,A,A,C,B,TB,cao,HTTT
2,TB,B,A,C,B,TB,TB,CNPM
4,thap,A,C,C,D,cao,cao,HTTT
2,cao,C,B,D,D,cao,TB,CNPM
3,TB,B,D,C,C,thap,TB,HTTT
3,TB,A,C,B,C,TB,cao,CNPM
2,TB,B,C,A,D,cao,TB,CNPM
3,TB,A,C,C,B,thap,cao,HTTT
3,TB,A,A,C,D,thap,thap,CNPM
2,thap,D,D,B,B,thap,thap,HTTT
3,TB,A,B,D,D,cao,TB,CNPM
3,TB,B,B,C,D,cao,TB,CNPM
3,TB,D,D,B,D,cao,thap,CNPM
4,TB,A,C,C,C,TB,cao,CNPM
3,TB,B,B,C,C,cao,TB,CNPM
4,cao,C,B,C,B,cao,TB,CNPM
2,TB,B,A,C,B,cao,TB,CNPM
4,thap,A,D,B,B,cao,TB,HTTT
3,TB,B,D,C,A,TB,cao,CNPM
3,TB,B,C,B,A,cao,TB,CNPM
2,TB,B,B,C,C,cao,thap,CNPM
3,TB,A,A,C,C,thap,TB,HTTT
2,TB,C,C,C,A,thap,thap,HTTT
2,thap,B,A,C,B,TB,thap,HTTT
4,cao,A,D,C,C,TB,TB,CNPM
3,cao,B,B,B,B,cao,thap,CNPM
3,TB,B,D,A,C,TB,thap,CNPM
1,TB,A,C,A,B,TB,thap,CNPM
3,thap,A,B,B,D,thap,cao,HTTT
3,TB,B,B,D,A,TB,thap,CNPM
3,TB,B,A,D,C,cao,TB,CNPM
3,TB,A,D,C,D,TB,thap,CNPM
2,thap,A,B,C,C,TB,cao,HTTT
2,cao,C,C,C,D,TB,TB,CNPM
2,TB,A,A,A,D,thap,cao,HTTT
2,TB,B,A,D,D,cao,TB,CNPM
1,cao,A,D,D,B,cao,cao,CNPM
3,thap,B,D,D,D,cao,cao,HTTT
2,TB,B,A,D,B,thap,TB,HTTT
3,TB,B,A,A,A,thap,thap,CNPM
4,TB,B,C,C,C,cao,thap,CNPM
2,cao,A,B,C,D,thap,thap,CNPM
4,thap,A,B,D,B,TB,cao,HTTT
3,thap,A,D,B,A,TB,cao,HTTT
4,TB,B,B,D,D,cao,TB,CNPM
3,TB,B,D,C,D,cao,thap,CNPM
4,TB,A,B,D,C,thap,TB,HTTT
4,thap,B,B,C,D,thap,cao,HTTT
4,TB,A,D,C,A,cao,TB,CNPM
3,cao,A,A,C,C,cao,thap,CNPM
4,cao,A,D,D,A,cao,TB,CNPM
2,TB,A,A,C,D,thap,thap,CNPM
2,TB,A,A,D,A,cao,cao,CNPM
4,TB,C,C,C,C,cao,TB,CNPM
3,TB,B,A,C,C,thap,TB,HTTT
4,TB,A,D,D,C,cao,thap,CNPM
3,TB,B,C,C,D,thap,cao,HTTT
4,TB,B,D,C,D,cao,thap,CNPM
4,cao,B,C,D,D,cao,TB,CNPM
3,cao,B,D,D,B,TB,TB,CNPM
2,cao,B,D,D,D,thap,cao,CNPM
4,thap,B,B,C,D,thap,TB,HTTT
4,thap,A,A,D,D,thap,TB,HTTT
4,TB,B,B,D,B,cao,TB,CNPM
2,cao,B,A,D,D,TB,thap,CNPM
4,cao,B,A,C,B,cao,thap,CNPM
2,TB,D,A,B,A,cao,cao,CNPM
2,TB,B,C,D,B,cao,TB,CNPM
2,cao,B,B,C,B,cao,TB,CNPM
2,cao,B,D,C,D,cao,thap,CNPM
3,TB,A,A,C,D,cao,TB,CNPM
3,thap,B,B,A,D,thap,TB,HTTT
3,thap,D,C,C,B,cao,cao,HTTT
1,TB,B,B,B,D,TB,TB,CNPM
3,TB,C,C,C,C,thap,thap,HTTT
3,TB,A,B,B,A,TB,cao,CNPM
2,TB,A,B,C,A,TB,TB,CNPM
3,thap,B,B,D,D,cao,thap,HTTT
2,TB,B,B,D,B,cao,cao,CNPM
2,TB,B,C,D,D,TB,thap,CNPM
2,TB,A,A,C,A,cao,TB,CNPM
4,TB,B,D,C,D,thap,TB,HTTT
3,thap,A,B,C,B,cao,cao,HTTT
3,TB,A,D,D,C,TB,TB,CNPM
3,TB,B,B,C,B,TB,thap,CNPM
2,thap,B,D,C,C,thap,thap,CNPM
2,thap,B,D,C,C,cao,thap,HTTT
1,TB,B,B,D,B,thap,thap,CNPM
2,thap,B,B,C,B,TB,TB,HTTT
3,TB,A,A,D,B,thap,cao,HTTT
1,cao,A,C,A,C,TB,TB,CNPM
3,TB,D,C,B,D,cao,thap,CNPM
3,TB,A,B,A,D,thap,cao,HTTT
4,cao,A,D,C,C,TB,TB,CNPM
3,TB,A,A,C,A,thap,cao,HTTT
