So tin chi,Ty le thuc hanh,Ky thuat,Phan tich,Thiet ke,Ky nang nhom,Diem chuyen can,Diem tong ket,Chuyen nganh
4,49,A,C,C,B,8,9.0,CNPM
3,89,B,A,D,D,5,4.0,CNPM
4,53,B,C,C,A,10,9.0,CNPM
2,42,A,A,C,B,8,9.0,CNPM
3,50,A,A,C,D,8,5.5,CNPM
4,47,A,D,D,C,10,6.5,CNPM
2,58,A,D,C,D,7,9.5,HTTT
3,43,A,A,C,B,10,5.5,CNPM
3,49,A,A,C,C,7,9.5,HTTT
3,81,A,B,C,D,5,7.0,CNPM
1,57,A,B,C,C,7,8.0,HTTT
2,55,A,D,C,C,8,10.0,CNPM
2,11,C,D,D,B,7,10.0,HTTT
2,48,B,D,C,D,10,7.5,CNPM
3,49,A,A,C,A,10,8.5,CNPM
3,73,A,A,C,C,10,6.5,CNPM
3,56,B,C,C,A,10,8.0,CNPM
2,58,D,C,C,B,9,5.0,CNPM
3,85,A,D,D,D,5,6.0,CNPM
4,57,C,D,B,D,10,9.0,CNPM
3,56,D,A,C,C,10,8.5,CNPM
3,55,A,A,C,D,10,10.0,CNPM
2,41,A,D,C,C,7,8.0,HTTT
2,49,B,C,C,D,6,5.0,CNPM
3,52,A,B,D,D,9,4.0,CNPM
4,49,A,B,D,C,9,8.5,CNPM
4,51,A,D,C,C,10,7.5,CNPM
2,50,B,A,A,B,5,7.5,HTTT
2,55,A,C,C,B,10,5.0,CNPM
3,53,B,B,C,D,9,6.0,CNPM
2,50,A,B,D,A,9,5.0,CNPM
3,47,A,C,C,A,10,4.5,CNPM
4,47,A,B,C,C,8,4.0,CNPM
4,59,A,B,D,C,10,6.5,CNPM
3,46,C,B,A,C,6,9.0,HTTT
4,42,B,C,C,D,9,4.0,CNPM
3,54,C,C,D,D,8,7.5,CNPM
4,60,A,A,A,C,10,4.5,CNPM
2,46,B,C,B,A,7,9.0,HTTT
2,93,A,A,D,A,6,8.5,CNPM
4,84,A,B,B,B,10,5.0,CNPM
3,31,B,C,C,B,5,8.5,HTTT
3,48,A,D,C,C,10,7.0,CNPM
4,46,C,C,C,B,10,7.5,CNPM
4,56,A,C,C,B,6,8.0,HTTT
2,46,B,B,A,B,7,8.0,HTTT
3,50,A,C,D,D,10,8.0,CNPM
4,55,A,C,D,C,10,6.5,CNPM
2,34,B,B,C,D,8,9.5,HTTT
4,76,D,C,D,D,10,9.0,CNPM
2,44,A,A,D,C,10,8.0,CNPM
2,62,A,A,C,D,5,6.0,CNPM
2,55,B,A,D,D,10,4.0,CNPM
4,58,B,A,C,B,8,7.5,CNPM
3,42,A,B,B,B,6,6.0,CNPM
4,48,B,D,D,C,10,10.0,CNPM
4,41,C,C,C,C,8,9.0,CNPM
3,30,B,C,C,D,6,7.5,HTTT
2,53,B,D,C,B,10,4.5,CNPM
4,29,A,B,C,A,10,9.0,HTTT
2,44,A,D,C,C,10,9.0,CNPM
3,51,A,D,A,A,10,5.5,CNPM
2,58,A,A,A,D,10,5.0,CNPM
2,42,A,A,C,B,10,5.0,CNPM
3,26,B,D,C,D,10,10.0,HTTT
2,13,B,D,C,B,10,10.0,HTTT
2,4,D,A,B,A,10,7.0,HTTT
4,18,B,C,C,D,6,10.0,HTTT
3,59,B,D,B,A,10,4.5,CNPM
2,99,B,B,D,B,10,8.5,CNPM
3,14,D,C,D,A,5,9.0,HTTT
3,53,B,C,D,C,8,7.0,CNPM
2,42,B,D,C,D,6,9.0,HTTT
2,22,B,B,C,A,10,4.0,HTTT
3,36,A,C,D,B,8,10.0,HTTT
3,43,C,B,C,D,8,9.5,CNPM
3,1,B,D,C,A,10,9.0,HTTT
4,44,A,C,B,A,10,4.0,CNPM
3,91,B,A,D,C,5,4.0,CNPM
2,84,A,B,B,D,10,7.5,CNPM
4,51,D,D,A,A,6,6.5,HTTT
4,80,B,A,D,B,7,4.0,CNPM
4,56,A,C,C,A,7,9.0,HTTT
4,46,A,B,D,C,10,7.0,CNPM
2,58,B,A,C,C,10,9.5,CNPM
2,63,A,B,D,B,10,8.0,CNPM
3,54,B,D,C,C,10,8.0,CNPM
2,33,B,C,D,C,8,4.0,HTTT
1,98,A,A,C,C,8,8.0,CNPM
2,15,B,B,D,A,10,4.0,HTTT
2,80,C,A,C,C,10,7.0,CNPM
1,33,B,A,D,C,8,8.5,HTTT
1,41,B,A,D,A,5,8.5,HTTT
3,4,A,D,C,A,6,4.5,CNPM
3,40,D,A,C,D,6,5.5,HTTT
3,51,A,D,B,C,10,9.0,CNPM
4,64,B,C,B,C,10,8.5,CNPM
4,99,B,C,C,A,8,5.0,CNPM
2,94,A,B,C,A,10,8.0,CNPM
4,60,B,D,B,B,5,9.5,HTTT
2,56,B,B,C,C,10,8.5,CNPM
3,57,D,C,B,D,6,10.0,HTTT
2,28,B,C,B,D,5,4.5,CNPM
4,52,C,C,B,D,8,8.0,CNPM
2,51,C,A,C,A,8,10.0,CNPM
4,38,B,C,C,B,9,9.0,HTTT
2,52,D,B,C,D,10,9.5,CNPM
4,93,A,D,D,A,9,9.0,CNPM
3,56,A,C,C,C,7,7.0,HTTT
3,54,A,C,D,B,10,8.0,CNPM
2,1,A,B,B,B,8,6.0,HTTT
4,55,B,A,C,A,9,9.0,CNPM
2,55,B,B,D,A,8,4.0,CNPM
2,32,A,C,C,C,8,6.0,HTTT
2,52,C,C,D,A,9,10.0,CNPM
4,15,A,D,A,D,10,9.0,HTTT
2,43,D,A,D,B,10,6.5,CNPM
3,44,C,C,B,D,10,6.0,CNPM
4,74,A,A,C,A,10,7.5,CNPM
4,58,A,C,D,B,6,6.0,CNPM
2,60,B,D,C,C,10,8.5,CNPM
3,45,B,A,C,C,10,8.5,CNPM
1,26,A,D,C,C,5,4.5,CNPM
4,46,D,A,C,D,7,5.0,HTTT
4,67,B,A,B,A,9,4.0,CNPM
4,45,A,C,D,B,8,8.0,CNPM
1,92,A,D,C,D,8,8.5,CNPM
2,59,A,A,C,B,8,8.0,CNPM
2,36,A,A,C,A,7,9.0,HTTT
2,74,A,D,D,D,7,8.0,CNPM
3,41,A,C,C,A,10,10.0,CNPM
2,15,A,C,C,A,7,7.0,HTTT
3,42,B,A,C,D,9,5.0,CNPM
1,80,B,D,D,A,7,7.5,CNPM
4,55,B,D,C,C,8,8.5,CNPM
2,6,B,B,D,B,6,4.0,CNPM
3,47,B,D,B,C,10,6.5,CNPM
2,47,B,A,C,B,8,9.0,CNPM
2,68,D,B,D,C,6,4.0,HTTT
2,55,B,A,C,C,10,9.0,CNPM
2,48,B,D,D,B,10,7.5,CNPM
4,40,B,C,C,A,5,5.0,CNPM
3,17,A,C,D,B,8,9.0,HTTT
4,60,B,D,D,D,9,4.0,CNPM
2,14,A,D,C,B,8,5.0,HTTT
2,30,B,A,A,B,10,9.5,HTTT
1,63,D,B,D,C,10,9.0,CNPM
3,4,A,C,B,C,5,10.0,HTTT
3,45,D,C,D,B,10,9.5,CNPM
4,49,C,C,C,C,7,6.5,HTTT
4,51,B,B,B,C,5,4.5,CNPM
3,10,A,C,C,C,7,7.5,HTTT
3,50,B,D,C,D,8,5.0,CNPM
2,59,B,C,C,D,10,7.5,CNPM
2,46,D,B,C,D,10,7.5,CNPM
4,42,C,B,D,D,7,8.0,HTTT
2,48,B,D,D,B,8,7.5,CNPM
4,91,A,A,B,C,9,10.0,CNPM
4,95,B,C,C,A,8,8.0,CNPM
4,50,A,D,D,A,9,8.0,CNPM
4,62,A,C,B,C,6,7.5,CNPM
4,93,D,D,D,D,5,7.5,CNPM
4,82,B,C,C,C,10,10.0,CNPM
1,91,B,A,A,B,7,9.0,CNPM
4,43,A,A,C,C,9,5.5,CNPM
3,60,B,C,B,B,9,9.5,CNPM
3,54,A,A,D,A,10,9.5,CNPM
4,55,A,D,C,D,10,9.0,CNPM
4,30,B,C,C,A,8,7.5,HTTT
2,48,A,C,C,C,10,8.0,CNPM
3,61,A,D,D,D,9,7.0,CNPM
1,47,B,A,C,A,9,5.0,CNPM
3,42,B,C,B,C,10,7.5,CNPM
2,60,B,B,C,D,9,7.5,CNPM
2,60,C,A,B,C,10,8.0,CNPM
4,44,B,C,D,B,10,8.5,CNPM
2,42,B,D,C,C,9,7.5,CNPM
4,55,A,B,C,D,10,9.5,CNPM
2,49,B,A,C,D,10,7.0,CNPM
2,30,A,A,D,A,9,5.5,HTTT
3,55,A,B,D,B,5,9.0,HTTT
3,13,B,D,C,A,8,8.5,HTTT
1,5,C,C,D,A,10,5.5,HTTT
4,99,D,D,C,A,7,9.0,CNPM
3,55,B,D,C,C,8,4.5,CNPM
4,42,A,A,D,B,8,9.5,CNPM
2,51,A,B,D,B,6,8.5,HTTT
4,55,A,A,D,C,5,6.0,CNPM
4,59,C,A,B,D,7,9.5,HTTT
2,57,B,A,C,D,8,10.0,CNPM
2,49,B,B,B,C,10,7.5,CNPM
3,41,B,D,C,A,10,8.0,CNPM
1,78,C,C,D,B,9,9.5,CNPM
3,47,D,D,B,C,10,9.5,CNPM
4,49,B,B,C,A,5,10.0,HTTT
4,65,A,B,D,C,5,6.5,CNPM
3,43,B,A,B,B,8,9.5,CNPM
2,98,D,C,B,C,10,8.0,CNPM
3,57,A,C,C,A,10,8.0,CNPM
2,24,A,B,C,D,10,7.5,HTTT
2,55,A,B,C,D,5,8.0,HTTT
3,100,D,B,C,C,10,4.0,CNPM
3,40,D,C,D,A,8,9.0,CNPM
2,45,A,B,C,B,6,9.5,HTTT
4,41,A,D,B,C,10,7.0,CNPM
4,81,B,B,A,A,10,9.0,CNPM
4,50,A,C,C,B,5,5.5,CNPM
3,76,A,A,B,D,9,9.5,CNPM
4,52,C,A,D,D,10,9.5,CNPM
4,55,B,C,D,C,10,9.5,CNPM
3,87,A,C,D,B,8,9.5,CNPM
1,42,B,A,D,B,8,8.5,CNPM
4,28,A,A,C,B,8,9.5,HTTT
2,40,B,A,C,B,9,8.0,CNPM
4,9,A,C,C,D,10,9.5,HTTT
2,86,C,B,D,D,10,7.0,CNPM
3,50,B,D,C,C,6,7.0,HTTT
3,45,A,C,B,C,8,9.5,CNPM
2,45,B,C,A,D,10,8.5,CNPM
3,55,A,C,C,B,7,10.0,HTTT
3,52,A,A,C,D,5,5.5,CNPM
2,37,D,D,B,B,7,6.0,HTTT
3,52,A,B,D,D,10,7.0,CNPM
3,47,B,B,C,D,10,8.5,CNPM
3,46,D,D,B,D,10,4.5,CNPM
4,52,A,C,C,C,8,9.0,CNPM
3,59,B,B,C,C,10,7.5,CNPM
4,98,C,B,C,B,10,7.5,CNPM
2,50,B,A,C,B,10,7.5,CNPM
4,33,A,D,B,B,10,7.5,HTTT
3,42,B,D,C,A,9,9.0,CNPM
3,49,B,C,B,A,10,7.0,CNPM
2,54,B,B,C,C,10,6.0,CNPM
3,54,A,A,C,C,7,7.5,HTTT
2,60,C,C,C,A,7,5.5,HTTT
2,1,B,A,C,B,8,5.5,HTTT
4,68,A,D,C,C,9,8.0,CNPM
3,61,B,B,B,B,10,5.0,CNPM
3,43,B,D,A,C,9,4.5,CNPM
1,57,A,C,A,B,8,5.0,CNPM
3,16,A,B,B,D,7,9.0,HTTT
3,43,B,B,D,A,8,5.5,CNPM
3,54,B,A,D,C,10,8.5,CNPM
3,45,A,D,C,D,8,4.5,CNPM
2,19,A,B,C,C,8,9.5,HTTT
2,62,C,C,C,D,9,7.0,CNPM
2,55,A,A,A,D,5,10.0,HTTT
2,45,B,A,D,D,10,8.0,CNPM
1,64,A,D,D,B,10,10.0,CNPM
3,21,B,D,D,D,10,10.0,HTTT
2,55,B,A,D,B,5,7.5,HTTT
3,40,B,A,A,A,7,6.5,CNPM
4,58,B,C,C,C,10,5.0,CNPM
2,75,A,B,C,D,5,5.5,CNPM
4,5,A,B,D,B,9,10.0,HTTT
3,15,A,D,B,A,9,9.0,HTTT
4,48,B,B,D,D,10,7.5,CNPM
3,40,B,D,C,D,10,5.0,CNPM
4,50,A,B,D,C,7,8.5,HTTT
4,4,B,B,C,D,6,9.5,HTTT
4,57,A,D,C,A,10,7.0,CNPM
3,77,A,A,C,C,10,6.0,CNPM
4,94,A,D,D,A,10,7.0,CNPM
2,47,A,A,C,D,7,5.5,CNPM
2,45,A,A,D,A,10,10.0,CNPM
4,53,C,C,C,C,10,8.0,CNPM
3,44,B,A,C,C,5,7.5,HTTT
4,60,A,D,D,C,10,6.5,CNPM
3,47,B,C,C,D,7,10.0,HTTT
4,46,B,D,C,D,10,6.5,CNPM
4,86,B,C,D,D,10,7.0,CNPM
3,76,B,D,D,B,9,8.5,CNPM
2,74,B,D,D,D,6,10.0,CNPM
4,14,B,B,C,D,6,7.5,HTTT
4,6,A,A,D,D,7,8.0,HTTT
4,56,B,B,D,B,10,7.5,CNPM
2,90,B,A,D,D,8,6.5,CNPM
4,86,B,A,C,B,10,5.5,CNPM
2,40,D,A,B,A,10,9.5,CNPM
2,46,B,C,D,B,10,7.5,CNPM
2,70,B,B,C,B,10,7.0,CNPM
2,72,B,D,C,D,10,6.0,CNPM
3,52,A,A,C,D,10,8.0,CNPM
3,27,B,B,A,D,6,7.0,HTTT
3,11,D,C,C,B,10,9.0,HTTT
1,43,B,B,B,D,8,8.5,CNPM
3,51,C,C,C,C,6,6.0,HTTT
3,59,A,B,B,A,8,10.0,CNPM
2,54,A,B,C,A,9,7.0,CNPM
3,20,B,B,D,D,10,6.0,HTTT
2,46,B,B,D,B,10,9.5,CNPM
2,48,B,C,D,D,8,5.5,CNPM
2,42,A,A,C,A,10,8.5,CNPM
4,43,B,D,C,D,7,7.5,HTTT
3,1,A,B,C,B,10,9.5,HTTT
3,51,A,D,D,C,9,7.0,CNPM
3,52,B,B,C,B,9,5.0,CNPM
2,5,B,D,C,C,5,6.0,CNPM
2,16,B,D,C,C,10,4.5,HTTT
1,52,B,B,D,B,5,6.0,CNPM
2,29,B,B,C,B,9,8.5,HTTT
3,40,A,A,D,B,6,9.0,HTTT
1,95,A,C,A,C,9,7.5,CNPM
3,57,D,C,B,D,10,6.0,CNPM
3,56,A,B,A,D,5,9.0,HTTT
4,93,A,D,C,C,8,8.0,CNPM
3,46,A,A,C,A,6,10.0,HTTT
1,8,A,C,D,C,8,7.0,HTTT
2,48,B,C,C,C,5,6.5,CNPM
3,45,B,C,C,A,9,8.5,CNPM
4,44,A,B,D,D,9,6.5,CNPM
4,71,C,C,C,B,9,9.5,CNPM
3,16,A,D,D,B,10,5.0,HTTT
2,41,D,D,C,D,9,8.0,CNPM
4,49,B,A,C,A,10,7.0,CNPM
3,53,C,C,C,D,10,9.5,CNPM
3,80,C,B,B,D,7,7.5,CNPM
3,58,A,D,C,A,8,9.5,CNPM
3,41,D,D,B,D,10,7.0,CNPM
2,51,C,A,D,D,6,7.5,HTTT
2,44,D,A,C,C,7,10.0,HTTT
1,59,A,A,C,B,10,8.5,CNPM
4,56,A,B,C,C,9,10.0,CNPM
2,57,A,A,C,D,10,8.0,CNPM
3,43,A,C,C,C,6,7.5,HTTT
2,61,D,A,C,A,5,8.0,CNPM
4,65,B,D,D,D,8,10.0,CNPM
2,46,D,B,C,C,8,4.0,CNPM
4,92,A,C,C,A,8,8.0,CNPM
4,22,B,C,C,D,8,10.0,HTTT
3,50,A,C,C,B,9,7.0,CNPM
4,38,A,B,B,B,10,5.5,HTTT
